Subnum,Sequence,Age,Sex,education,Location,Income,question,reward,group,Headline_Veracity,Headline_id,Sharelikelihood,Credibility,Difficulty,Familiarity,Importance,Morality
8,2,21,2,4,1,5,Fake_Item18_Reward_Bversion,1,control,Fake,18,5,6,1,6,6,6
10,1,21,2,4,1,2,Real_Item1_Reward_Aversion,5,control,Real,1,2,5,3,2,1,4
10,1,21,2,4,1,2,Real_Item2_Reward_Aversion,5,control,Real,2,2,3,2,2,1,4
10,1,21,2,4,1,2,Real_Item3_Reward_Aversion,5,control,Real,3,3,5,2,4,2,3
10,1,21,2,4,1,2,Real_Item4_Reward_Aversion,4,control,Real,4,4,3,4,1,1,5
10,1,21,2,4,1,2,Real_Item5_Reward_Aversion,5,control,Real,5,3,5,5,4,2,4
10,1,21,2,4,1,2,Real_Item6_Reward_Aversion,6,control,Real,6,2,3,3,1,1,4
10,1,21,2,4,1,2,Real_Item7_Reward_Aversion,5,control,Real,7,3,5,2,5,3,2
10,1,21,2,4,1,2,Real_Item8_Reward_Aversion,3,control,Real,8,4,3,5,4,4,2
10,1,21,2,4,1,2,Real_Item9_Reward_Aversion,3,control,Real,9,4,4,3,4,3,3
10,1,21,2,4,1,2,Fake_Item10_Reward_Aversion,5,control,Fake,10,2,4,2,2,1,5
10,1,21,2,4,1,2,Fake_Item11_Reward_Aversion,4,control,Fake,11,3,2,3,1,2,4
10,1,21,2,4,1,2,Fake_Item12_Reward_Aversion,5,control,Fake,12,2,4,4,1,1,3
10,1,21,2,4,1,2,Fake_Item13_Reward_Aversion,4,control,Fake,13,3,4,5,3,2,5
10,1,21,2,4,1,2,Fake_Item14_Reward_Aversion,6,control,Fake,14,2,2,3,2,4,4
10,1,21,2,4,1,2,Fake_Item15_Reward_Aversion,2,control,Fake,15,5,2,2,1,5,4
10,1,21,2,4,1,2,Fake_Item16_Reward_Aversion,4,control,Fake,16,4,3,4,1,4,3
10,1,21,2,4,1,2,Fake_Item17_Reward_Aversion,2,control,Fake,17,4,4,4,4,2,2
10,1,21,2,4,1,2,Fake_Item18_Reward_Aversion,1,control,Fake,18,6,4,3,4,5,5
11,2,22,2,4,3,3,Real_Item1_Reward_Bversion,4,control,Real,1,3,4,2,2,2,3
11,2,22,2,4,3,3,Real_Item2_Reward_Bversion,4,control,Real,2,3,3,3,2,1,2
11,2,22,2,4,3,3,Real_Item3_Reward_Bversion,4,control,Real,3,3,4,2,2,1,2
11,2,22,2,4,3,3,Real_Item4_Reward_Bversion,4,control,Real,4,5,4,2,3,2,4
11,2,22,2,4,3,3,Real_Item5_Reward_Bversion,4,control,Real,5,4,3,3,2,2,4
11,2,22,2,4,3,3,Real_Item6_Reward_Bversion,4,control,Real,6,4,3,4,3,3,4
11,2,22,2,4,3,3,Real_Item7_Reward_Bversion,5,control,Real,7,5,3,4,2,2,2
11,2,22,2,4,3,3,Real_Item8_Reward_Bversion,5,control,Real,8,4,3,2,2,2,2
11,2,22,2,4,3,3,Real_Item9_Reward_Bversion,5,control,Real,9,5,3,2,2,1,2
11,2,22,2,4,3,3,Fake_Item10_Reward_Bversion,5,control,Fake,10,5,3,2,3,2,4
11,2,22,2,4,3,3,Fake_Item11_Reward_Bversion,5,control,Fake,11,5,3,3,3,3,4
11,2,22,2,4,3,3,Fake_Item12_Reward_Bversion,5,control,Fake,12,5,4,2,2,3,2
11,2,22,2,4,3,3,Fake_Item13_Reward_Bversion,3,control,Fake,13,3,3,4,2,1,3
11,2,22,2,4,3,3,Fake_Item14_Reward_Bversion,5,control,Fake,14,4,4,2,3,4,4
11,2,22,2,4,3,3,Fake_Item15_Reward_Bversion,4,control,Fake,15,4,4,2,3,4,4
11,2,22,2,4,3,3,Fake_Item16_Reward_Bversion,4,control,Fake,16,4,4,3,2,2,4
11,2,22,2,4,3,3,Fake_Item17_Reward_Bversion,5,control,Fake,17,4,2,4,2,3,3
11,2,22,2,4,3,3,Fake_Item18_Reward_Bversion,3,control,Fake,18,3,4,2,3,2,4
12,1,25,2,4,2,5,Real_Item1_Reward_Aversion,5,control,Real,1,3,6,1,4,6,6
12,1,25,2,4,2,5,Real_Item2_Reward_Aversion,2,control,Real,2,5,6,2,1,5,5
12,1,25,2,4,2,5,Real_Item3_Reward_Aversion,3,control,Real,3,3,6,2,4,3,3
12,1,25,2,4,2,5,Real_Item4_Reward_Aversion,2,control,Real,4,3,2,2,1,6,3
12,1,25,2,4,2,5,Real_Item5_Reward_Aversion,3,control,Real,5,3,5,6,1,4,5
12,1,25,2,4,2,5,Real_Item6_Reward_Aversion,3,control,Real,6,3,4,5,1,5,3
12,1,25,2,4,2,5,Real_Item7_Reward_Aversion,2,control,Real,7,5,1,5,5,3,6
12,1,25,2,4,2,5,Real_Item8_Reward_Aversion,2,control,Real,8,2,6,4,2,5,5
12,1,25,2,4,2,5,Real_Item9_Reward_Aversion,2,control,Real,9,2,6,1,4,2,5
12,1,25,2,4,2,5,Fake_Item10_Reward_Aversion,5,control,Fake,10,5,6,2,4,5,6
12,1,25,2,4,2,5,Fake_Item11_Reward_Aversion,2,control,Fake,11,4,4,5,2,2,5
12,1,25,2,4,2,5,Fake_Item12_Reward_Aversion,5,control,Fake,12,3,5,1,5,6,6
12,1,25,2,4,2,5,Fake_Item13_Reward_Aversion,3,control,Fake,13,2,2,4,5,2,5
12,1,25,2,4,2,5,Fake_Item14_Reward_Aversion,5,control,Fake,14,5,6,1,6,5,5
12,1,25,2,4,2,5,Fake_Item15_Reward_Aversion,5,control,Fake,15,5,5,1,2,5,5
12,1,25,2,4,2,5,Fake_Item16_Reward_Aversion,5,control,Fake,16,4,4,5,3,6,5
12,1,25,2,4,2,5,Fake_Item17_Reward_Aversion,2,control,Fake,17,5,1,6,1,4,3
12,1,25,2,4,2,5,Fake_Item18_Reward_Aversion,3,control,Fake,18,4,5,4,1,6,5
13,2,22,1,3,2,2,Real_Item1_Reward_Bversion,6,control,Real,1,4,5,6,4,4,5
13,2,22,1,3,2,2,Real_Item2_Reward_Bversion,6,control,Real,2,4,3,4,4,4,4
13,2,22,1,3,2,2,Real_Item3_Reward_Bversion,6,control,Real,3,5,5,4,4,3,5
13,2,22,1,3,2,2,Real_Item4_Reward_Bversion,6,control,Real,4,2,4,4,4,5,4
13,2,22,1,3,2,2,Real_Item5_Reward_Bversion,6,control,Real,5,5,4,6,5,5,5
13,2,22,1,3,2,2,Real_Item6_Reward_Bversion,6,control,Real,6,4,5,6,4,5,4
13,2,22,1,3,2,2,Real_Item7_Reward_Bversion,6,control,Real,7,4,6,5,4,4,6
13,2,22,1,3,2,2,Real_Item8_Reward_Bversion,6,control,Real,8,5,5,4,5,5,5
13,2,22,1,3,2,2,Real_Item9_Reward_Bversion,6,control,Real,9,4,3,4,3,4,5
13,2,22,1,3,2,2,Fake_Item10_Reward_Bversion,6,control,Fake,10,6,5,4,4,6,4
13,2,22,1,3,2,2,Fake_Item11_Reward_Bversion,6,control,Fake,11,6,6,6,4,3,5
13,2,22,1,3,2,2,Fake_Item12_Reward_Bversion,6,control,Fake,12,6,6,6,6,5,5
13,2,22,1,3,2,2,Fake_Item13_Reward_Bversion,6,control,Fake,13,5,3,4,4,4,4
13,2,22,1,3,2,2,Fake_Item14_Reward_Bversion,6,control,Fake,14,5,5,5,4,4,6
13,2,22,1,3,2,2,Fake_Item15_Reward_Bversion,6,control,Fake,15,4,5,4,5,4,6
13,2,22,1,3,2,2,Fake_Item16_Reward_Bversion,6,control,Fake,16,6,5,6,5,5,6
13,2,22,1,3,2,2,Fake_Item17_Reward_Bversion,6,control,Fake,17,3,5,4,5,4,4
13,2,22,1,3,2,2,Fake_Item18_Reward_Bversion,6,control,Fake,18,5,4,4,4,6,5
14,2,21,1,4,2,3,Real_Item1_Reward_Bversion,4,control,Real,1,5,6,1,5,4,6
14,2,21,1,4,2,3,Real_Item2_Reward_Bversion,3,control,Real,2,4,5,2,4,2,2
14,2,21,1,4,2,3,Real_Item3_Reward_Bversion,5,control,Real,3,4,5,2,5,5,2
14,2,21,1,4,2,3,Real_Item4_Reward_Bversion,6,control,Real,4,6,5,2,2,5,5
14,2,21,1,4,2,3,Real_Item5_Reward_Bversion,5,control,Real,5,6,1,5,4,3,5
14,2,21,1,4,2,3,Real_Item6_Reward_Bversion,4,control,Real,6,5,5,2,5,6,1
14,2,21,1,4,2,3,Real_Item7_Reward_Bversion,3,control,Real,7,5,6,2,4,5,6
14,2,21,1,4,2,3,Real_Item8_Reward_Bversion,4,control,Real,8,4,6,5,5,4,2
14,2,21,1,4,2,3,Real_Item9_Reward_Bversion,6,control,Real,9,2,2,6,4,5,3
14,2,21,1,4,2,3,Fake_Item10_Reward_Bversion,5,control,Fake,10,6,5,2,4,3,6
14,2,21,1,4,2,3,Fake_Item11_Reward_Bversion,6,control,Fake,11,5,5,3,5,4,2
14,2,21,1,4,2,3,Fake_Item12_Reward_Bversion,3,control,Fake,12,2,6,2,4,5,6
14,2,21,1,4,2,3,Fake_Item13_Reward_Bversion,5,control,Fake,13,5,6,5,4,3,2
14,2,21,1,4,2,3,Fake_Item14_Reward_Bversion,4,control,Fake,14,4,6,2,4,6,5
14,2,21,1,4,2,3,Fake_Item15_Reward_Bversion,4,control,Fake,15,6,4,5,3,2,1
14,2,21,1,4,2,3,Fake_Item16_Reward_Bversion,4,control,Fake,16,3,5,2,5,6,4
14,2,21,1,4,2,3,Fake_Item17_Reward_Bversion,6,control,Fake,17,5,2,5,5,1,3
14,2,21,1,4,2,3,Fake_Item18_Reward_Bversion,6,control,Fake,18,5,6,2,5,6,5
15,1,23,2,4,1,1,Real_Item1_Reward_Aversion,3,control,Real,1,5,5,5,2,2,6
15,1,23,2,4,1,1,Real_Item2_Reward_Aversion,1,control,Real,2,6,1,3,2,1,2
15,1,23,2,4,1,1,Real_Item3_Reward_Aversion,1,control,Real,3,5,5,2,3,1,4
15,1,23,2,4,1,1,Real_Item4_Reward_Aversion,1,control,Real,4,6,6,2,2,1,6
15,1,23,2,4,1,1,Real_Item5_Reward_Aversion,1,control,Real,5,5,4,2,2,1,4
15,1,23,2,4,1,1,Real_Item6_Reward_Aversion,1,control,Real,6,5,4,3,2,1,5
15,1,23,2,4,1,1,Real_Item7_Reward_Aversion,1,control,Real,7,4,4,3,2,1,3
15,1,23,2,4,1,1,Real_Item8_Reward_Aversion,1,control,Real,8,6,3,5,2,1,2
15,1,23,2,4,1,1,Real_Item9_Reward_Aversion,5,control,Real,9,5,4,4,2,1,1
15,1,23,2,4,1,1,Fake_Item10_Reward_Aversion,1,control,Fake,10,5,5,2,3,1,4
15,1,23,2,4,1,1,Fake_Item11_Reward_Aversion,1,control,Fake,11,6,1,2,2,1,1
15,1,23,2,4,1,1,Fake_Item12_Reward_Aversion,1,control,Fake,12,3,4,3,2,1,1
15,1,23,2,4,1,1,Fake_Item13_Reward_Aversion,1,control,Fake,13,6,4,3,2,1,4
15,1,23,2,4,1,1,Fake_Item14_Reward_Aversion,1,control,Fake,14,6,1,2,2,1,4
15,1,23,2,4,1,1,Fake_Item15_Reward_Aversion,1,control,Fake,15,4,1,3,3,1,1
15,1,23,2,4,1,1,Fake_Item16_Reward_Aversion,1,control,Fake,16,5,2,4,3,4,2
15,1,23,2,4,1,1,Fake_Item17_Reward_Aversion,3,control,Fake,17,3,5,2,2,1,3
15,1,23,2,4,1,1,Fake_Item18_Reward_Aversion,6,control,Fake,18,1,1,2,5,4,1
16,1,19,2,4,3,2,Real_Item1_Reward_Aversion,1,control,Real,1,6,4,4,4,4,6
16,1,19,2,4,3,2,Real_Item2_Reward_Aversion,4,control,Real,2,3,3,4,3,3,4
16,1,19,2,4,3,2,Real_Item3_Reward_Aversion,2,control,Real,3,4,4,4,4,4,4
16,1,19,2,4,3,2,Real_Item4_Reward_Aversion,4,control,Real,4,2,2,4,2,2,4
16,1,19,2,4,3,2,Real_Item5_Reward_Aversion,3,control,Real,5,4,4,4,3,3,5
16,1,19,2,4,3,2,Real_Item6_Reward_Aversion,3,control,Real,6,3,4,1,2,2,4
16,1,19,2,4,3,2,Real_Item7_Reward_Aversion,2,control,Real,7,4,4,3,4,3,5
16,1,19,2,4,3,2,Real_Item8_Reward_Aversion,4,control,Real,8,2,2,3,2,2,3
16,1,19,2,4,3,2,Real_Item9_Reward_Aversion,5,control,Real,9,2,4,4,3,3,4
16,1,19,2,4,3,2,Fake_Item10_Reward_Aversion,2,control,Fake,10,5,4,4,5,4,5
16,1,19,2,4,3,2,Fake_Item11_Reward_Aversion,4,control,Fake,11,3,4,4,2,4,4
16,1,19,2,4,3,2,Fake_Item12_Reward_Aversion,5,control,Fake,12,2,4,4,4,4,4
16,1,19,2,4,3,2,Fake_Item13_Reward_Aversion,4,control,Fake,13,2,2,5,4,4,4
16,1,19,2,4,3,2,Fake_Item14_Reward_Aversion,5,control,Fake,14,2,4,5,2,2,4
16,1,19,2,4,3,2,Fake_Item15_Reward_Aversion,4,control,Fake,15,2,5,3,4,4,4
16,1,19,2,4,3,2,Fake_Item16_Reward_Aversion,2,control,Fake,16,4,4,4,3,3,5
16,1,19,2,4,3,2,Fake_Item17_Reward_Aversion,4,control,Fake,17,2,2,3,3,3,4
16,1,19,2,4,3,2,Fake_Item18_Reward_Aversion,4,control,Fake,18,3,3,3,2,2,4
17,1,20,1,4,2,2,Real_Item1_Reward_Aversion,4,control,Real,1,4,4,2,5,4,6
17,1,20,1,4,2,2,Real_Item2_Reward_Aversion,4,control,Real,2,4,4,2,4,3,4
17,1,20,1,4,2,2,Real_Item3_Reward_Aversion,6,control,Real,3,2,4,2,2,4,3
17,1,20,1,4,2,2,Real_Item4_Reward_Aversion,5,control,Real,4,2,3,2,5,2,3
17,1,20,1,4,2,2,Real_Item5_Reward_Aversion,6,control,Real,5,2,4,2,6,3,4
17,1,20,1,4,2,2,Real_Item6_Reward_Aversion,6,control,Real,6,1,2,3,5,2,3
17,1,20,1,4,2,2,Real_Item7_Reward_Aversion,3,control,Real,7,3,4,2,4,3,4
17,1,20,1,4,2,2,Real_Item8_Reward_Aversion,5,control,Real,8,2,2,2,5,2,2
17,1,20,1,4,2,2,Real_Item9_Reward_Aversion,3,control,Real,9,5,4,2,4,3,4
17,1,20,1,4,2,2,Fake_Item10_Reward_Aversion,5,control,Fake,10,4,5,2,2,3,3
17,1,20,1,4,2,2,Fake_Item11_Reward_Aversion,4,control,Fake,11,2,3,5,5,3,3
17,1,20,1,4,2,2,Fake_Item12_Reward_Aversion,6,control,Fake,12,3,4,2,6,3,3
17,1,20,1,4,2,2,Fake_Item13_Reward_Aversion,5,control,Fake,13,4,4,3,3,2,3
17,1,20,1,4,2,2,Fake_Item14_Reward_Aversion,1,control,Fake,14,6,5,2,1,6,5
17,1,20,1,4,2,2,Fake_Item15_Reward_Aversion,3,control,Fake,15,4,4,5,4,5,4
17,1,20,1,4,2,2,Fake_Item16_Reward_Aversion,3,control,Fake,16,2,3,3,5,3,2
17,1,20,1,4,2,2,Fake_Item17_Reward_Aversion,4,control,Fake,17,4,2,2,6,2,2
17,1,20,1,4,2,2,Fake_Item18_Reward_Aversion,5,control,Fake,18,2,4,5,6,3,4
18,2,23,1,4,2,3,Real_Item1_Reward_Bversion,4,control,Real,1,3,3,2,5,5,5
18,2,23,1,4,2,3,Real_Item2_Reward_Bversion,3,control,Real,2,3,4,2,4,3,4
18,2,23,1,4,2,3,Real_Item3_Reward_Bversion,5,control,Real,3,5,6,1,3,5,3
18,2,23,1,4,2,3,Real_Item4_Reward_Bversion,2,control,Real,4,3,5,2,4,4,4
18,2,23,1,4,2,3,Real_Item5_Reward_Bversion,3,control,Real,5,3,5,2,5,5,5
18,2,23,1,4,2,3,Real_Item6_Reward_Bversion,3,control,Real,6,4,5,2,4,3,4
18,2,23,1,4,2,3,Real_Item7_Reward_Bversion,2,control,Real,7,2,6,1,2,4,5
18,2,23,1,4,2,3,Real_Item8_Reward_Bversion,3,control,Real,8,3,4,5,4,3,3
18,2,23,1,4,2,3,Real_Item9_Reward_Bversion,4,control,Real,9,5,4,4,4,4,2
18,2,23,1,4,2,3,Fake_Item10_Reward_Bversion,4,control,Fake,10,5,4,2,4,3,4
18,2,23,1,4,2,3,Fake_Item11_Reward_Bversion,2,control,Fake,11,2,4,3,3,5,4
18,2,23,1,4,2,3,Fake_Item12_Reward_Bversion,4,control,Fake,12,4,5,2,5,5,5
18,2,23,1,4,2,3,Fake_Item13_Reward_Bversion,3,control,Fake,13,2,4,4,3,1,3
18,2,23,1,4,2,3,Fake_Item14_Reward_Bversion,5,control,Fake,14,5,2,1,2,5,5
18,2,23,1,4,2,3,Fake_Item15_Reward_Bversion,2,control,Fake,15,4,5,2,4,4,5
18,2,23,1,4,2,3,Fake_Item16_Reward_Bversion,3,control,Fake,16,2,3,2,4,4,2
18,2,23,1,4,2,3,Fake_Item17_Reward_Bversion,4,control,Fake,17,4,4,5,4,4,4
18,2,23,1,4,2,3,Fake_Item18_Reward_Bversion,4,control,Fake,18,3,4,2,4,5,5
19,2,26,2,4,4,1,Real_Item1_Reward_Bversion,6,control,Real,1,2,5,3,2,5,5
19,2,26,2,4,4,1,Real_Item2_Reward_Bversion,6,control,Real,2,1,1,5,5,3,1
19,2,26,2,4,4,1,Real_Item3_Reward_Bversion,1,control,Real,3,4,6,2,6,6,6
19,2,26,2,4,4,1,Real_Item4_Reward_Bversion,6,control,Real,4,1,6,2,6,4,6
19,2,26,2,4,4,1,Real_Item5_Reward_Bversion,4,control,Real,5,1,5,4,6,5,5
19,2,26,2,4,4,1,Real_Item6_Reward_Bversion,4,control,Real,6,3,6,2,6,4,6
19,2,26,2,4,4,1,Real_Item7_Reward_Bversion,6,control,Real,7,1,6,4,5,4,6
19,2,26,2,4,4,1,Real_Item8_Reward_Bversion,6,control,Real,8,3,4,6,5,4,4
19,2,26,2,4,4,1,Real_Item9_Reward_Bversion,3,control,Real,9,5,6,3,5,5,5
19,2,26,2,4,4,1,Fake_Item10_Reward_Bversion,6,control,Fake,10,1,6,2,6,6,6
19,2,26,2,4,4,1,Fake_Item11_Reward_Bversion,1,control,Fake,11,6,4,5,4,4,4
19,2,26,2,4,4,1,Fake_Item12_Reward_Bversion,6,control,Fake,12,1,6,5,6,5,6
19,2,26,2,4,4,1,Fake_Item13_Reward_Bversion,6,control,Fake,13,2,5,3,2,4,5
19,2,26,2,4,4,1,Fake_Item14_Reward_Bversion,6,control,Fake,14,1,4,5,5,5,4
19,2,26,2,4,4,1,Fake_Item15_Reward_Bversion,3,control,Fake,15,4,3,5,3,3,4
19,2,26,2,4,4,1,Fake_Item16_Reward_Bversion,6,control,Fake,16,1,4,6,4,3,4
19,2,26,2,4,4,1,Fake_Item17_Reward_Bversion,3,control,Fake,17,5,4,5,5,3,4
19,2,26,2,4,4,1,Fake_Item18_Reward_Bversion,6,control,Fake,18,2,3,4,4,3,4
20,1,26,2,4,1,4,Real_Item1_Reward_Aversion,1,control,Real,1,6,6,1,5,6,6
20,1,26,2,4,1,4,Real_Item2_Reward_Aversion,4,control,Real,2,3,4,2,4,3,1
20,1,26,2,4,1,4,Real_Item3_Reward_Aversion,3,control,Real,3,4,5,3,5,4,4
20,1,26,2,4,1,4,Real_Item4_Reward_Aversion,5,control,Real,4,3,3,4,2,2,4
20,1,26,2,4,1,4,Real_Item5_Reward_Aversion,1,control,Real,5,6,6,1,5,5,6
20,1,26,2,4,1,4,Real_Item6_Reward_Aversion,1,control,Real,6,6,6,1,5,4,5
20,1,26,2,4,1,4,Real_Item7_Reward_Aversion,6,control,Real,7,4,4,4,4,3,5
20,1,26,2,4,1,4,Real_Item8_Reward_Aversion,3,control,Real,8,4,5,2,4,3,4
20,1,26,2,4,1,4,Real_Item9_Reward_Aversion,6,control,Real,9,2,1,2,2,1,2
20,1,26,2,4,1,4,Fake_Item10_Reward_Aversion,1,control,Fake,10,6,6,1,5,5,6
20,1,26,2,4,1,4,Fake_Item11_Reward_Aversion,5,control,Fake,11,3,2,2,2,1,3
20,1,26,2,4,1,4,Fake_Item12_Reward_Aversion,1,control,Fake,12,6,6,1,5,5,6
20,1,26,2,4,1,4,Fake_Item13_Reward_Aversion,6,control,Fake,13,2,2,2,3,1,2
20,1,26,2,4,1,4,Fake_Item14_Reward_Aversion,5,control,Fake,14,2,1,2,2,1,2
